Time;X;Y;Z;Vx;Vy;Vz;Ax;Ay;Az;Jx;Jy;Jz
0.000000;0.000000;0.000000;0.000000;0.100000;0.000000;0.000000;0.000000;0.000000;0.000000;9.770563;16.970563;0.000000
0.008000;0.000801;0.000001;0.000000;0.100305;0.000531;0.000000;0.075317;0.131191;0.000000;9.061435;15.831596;0.000000
0.016000;0.001606;0.000011;0.000000;0.101190;0.002075;0.000000;0.145028;0.253375;0.000000;8.369157;14.718696;0.000000
0.024000;0.002421;0.000037;0.000000;0.102611;0.004561;0.000000;0.209268;0.366760;0.000000;7.693730;13.631863;0.000000
0.032000;0.003250;0.000087;0.000000;0.104524;0.007920;0.000000;0.268173;0.471554;0.000000;7.035155;12.571097;0.000000
0.040000;0.004095;0.000166;0.000000;0.106888;0.012084;0.000000;0.321876;0.567967;0.000000;6.393430;11.536398;0.000000
0.048000;0.004961;0.000282;0.000000;0.109661;0.016986;0.000000;0.370512;0.656206;0.000000;5.768555;10.527765;0.000000
0.056000;0.005850;0.000440;0.000000;0.112803;0.022562;0.000000;0.414217;0.736481;0.000000;5.160532;9.545199;0.000000
0.064000;0.006767;0.000644;0.000000;0.116275;0.028749;0.000000;0.453126;0.808999;0.000000;4.569359;8.588700;0.000000
0.072000;0.007712;0.000901;0.000000;0.120040;0.035486;0.000000;0.487372;0.873969;0.000000;3.995037;7.658268;0.000000
0.080000;0.008688;0.001214;0.000000;0.124061;0.042713;0.000000;0.517091;0.931601;0.000000;3.437566;6.753902;0.000000
0.088000;0.009697;0.001586;0.000000;0.128302;0.050372;0.000000;0.542418;0.982101;0.000000;2.896946;5.875603;0.000000
0.096000;0.010741;0.002020;0.000000;0.132729;0.058408;0.000000;0.563487;1.025680;0.000000;2.373176;5.023371;0.000000
0.104000;0.011821;0.002521;0.000000;0.137307;0.066765;0.000000;0.580434;1.062545;0.000000;1.866257;4.197206;0.000000
0.112000;0.012938;0.003089;0.000000;0.142005;0.075391;0.000000;0.593392;1.092905;0.000000;1.376189;3.397108;0.000000
0.120000;0.014094;0.003728;0.000000;0.146791;0.084235;0.000000;0.602498;1.116968;0.000000;0.902972;2.623076;0.000000
0.128000;0.015287;0.004438;0.000000;0.151635;0.093247;0.000000;0.607885;1.134943;0.000000;0.446606;1.875111;0.000000
0.136000;0.016520;0.005220;0.000000;0.156508;0.102378;0.000000;0.609688;1.147039;0.000000;0.007090;1.153213;0.000000
0.144000;0.017791;0.006076;0.000000;0.161381;0.111584;0.000000;0.608043;1.153464;0.000000;-0.415575;0.457382;0.000000
0.152000;0.019102;0.007006;0.000000;0.166227;0.120819;0.000000;0.603084;1.154427;0.000000;-0.821389;-0.212383;0.000000
0.160000;0.020451;0.008009;0.000000;0.171022;0.130041;0.000000;0.594946;1.150136;0.000000;-1.210352;-0.856080;0.000000
0.168000;0.021838;0.009086;0.000000;0.175738;0.139208;0.000000;0.583763;1.140799;0.000000;-1.582465;-1.473711;0.000000
0.176000;0.023262;0.010236;0.000000;0.180354;0.148281;0.000000;0.569671;1.126626;0.000000;-1.937726;-2.065275;0.000000
0.184000;0.024723;0.011458;0.000000;0.184846;0.157222;0.000000;0.552805;1.107824;0.000000;-2.276137;-2.630773;0.000000
0.192000;0.026220;0.012751;0.000000;0.189192;0.165994;0.000000;0.533298;1.084603;0.000000;-2.597698;-3.170203;0.000000
0.200000;0.027750;0.014114;0.000000;0.193372;0.174564;0.000000;0.511287;1.057171;0.000000;-2.902407;-3.683567;0.000000
0.208000;0.029313;0.015544;0.000000;0.197366;0.182898;0.000000;0.486905;1.025735;0.000000;-3.190266;-4.170864;0.000000
0.216000;0.030907;0.017039;0.000000;0.201156;0.190966;0.000000;0.460287;0.990506;0.000000;-3.461273;-4.632094;0.000000
0.224000;0.032531;0.018598;0.000000;0.204725;0.198737;0.000000;0.431569;0.951691;0.000000;-3.715430;-5.067258;0.000000
0.232000;0.034182;0.020218;0.000000;0.208056;0.206184;0.000000;0.400885;0.909500;0.000000;-3.952737;-5.476354;0.000000
0.240000;0.035859;0.021896;0.000000;0.211134;0.213280;0.000000;0.368370;0.864139;0.000000;-4.173192;-5.859384;0.000000
0.248000;0.037560;0.023630;0.000000;0.213946;0.220002;0.000000;0.334159;0.815819;0.000000;-4.376797;-6.216347;0.000000
0.256000;0.039282;0.025415;0.000000;0.216477;0.226326;0.000000;0.298387;0.764747;0.000000;-4.563551;-6.547244;0.000000
0.264000;0.041022;0.027250;0.000000;0.218716;0.232231;0.000000;0.261187;0.711133;0.000000;-4.733454;-6.852073;0.000000
0.272000;0.042780;0.029130;0.000000;0.220652;0.237698;0.000000;0.222696;0.655184;0.000000;-4.886506;-7.130836;0.000000
0.280000;0.044552;0.031052;0.000000;0.222276;0.242709;0.000000;0.183048;0.597109;0.000000;-5.022708;-7.383532;0.000000
0.288000;0.046336;0.033012;0.000000;0.223578;0.247247;0.000000;0.142378;0.537117;0.000000;-5.142058;-7.610161;0.000000
0.296000;0.048128;0.035006;0.000000;0.224552;0.251298;0.000000;0.100820;0.475416;0.000000;-5.244558;-7.810723;0.000000
0.304000;0.049928;0.037031;0.000000;0.225190;0.254849;0.000000;0.058510;0.412215;0.000000;-5.330207;-7.985219;0.000000
0.312000;0.051731;0.039083;0.000000;0.225486;0.257890;0.000000;0.015582;0.347722;0.000000;-5.399006;-8.133648;0.000000
0.320000;0.053535;0.041156;0.000000;0.225438;0.260410;0.000000;-0.027829;0.282146;0.000000;-5.450953;-8.256010;0.000000
0.328000;0.055337;0.043248;0.000000;0.225040;0.262402;0.000000;-0.071589;0.215695;0.000000;-5.486050;-8.352305;0.000000
0.336000;0.057134;0.045353;0.000000;0.224292;0.263859;0.000000;-0.115561;0.148578;0.000000;-5.504296;-8.422533;0.000000
0.344000;0.058924;0.047468;0.000000;0.223191;0.264778;0.000000;-0.159612;0.081004;0.000000;-5.505692;-8.466695;0.000000
0.352000;0.060704;0.049588;0.000000;0.221738;0.265155;0.000000;-0.203607;0.013181;0.000000;-5.490236;-8.484790;0.000000
0.360000;0.062471;0.051709;0.000000;0.219934;0.264989;0.000000;-0.247411;-0.054683;0.000000;-5.457930;-8.476818;0.000000
0.368000;0.064222;0.053826;0.000000;0.217780;0.264280;0.000000;-0.290889;-0.122379;0.000000;-5.408773;-8.442779;0.000000
0.376000;0.065955;0.055936;0.000000;0.215281;0.263032;0.000000;-0.333907;-0.189698;0.000000;-5.342765;-8.382674;0.000000
0.384000;0.067666;0.058034;0.000000;0.212439;0.261247;0.000000;-0.376329;-0.256432;0.000000;-5.259906;-8.296502;0.000000
0.392000;0.069353;0.060115;0.000000;0.209261;0.258931;0.000000;-0.418020;-0.322373;0.000000;-5.160197;-8.184263;0.000000
0.400000;0.071013;0.062175;0.000000;0.205753;0.256091;0.000000;-0.458847;-0.387311;0.000000;-5.043636;-8.045957;0.000000
0.408000;0.072644;0.064211;0.000000;0.201923;0.252737;0.000000;-0.498673;-0.451038;0.000000;-4.910225;-7.881584;0.000000
0.416000;0.074243;0.066217;0.000000;0.197778;0.248879;0.000000;-0.537365;-0.513347;0.000000;-4.759964;-7.691145;0.000000
0.424000;0.075808;0.068191;0.000000;0.193328;0.244528;0.000000;-0.574788;-0.574027;0.000000;-4.592851;-7.474639;0.000000
0.432000;0.077336;0.070129;0.000000;0.188585;0.239699;0.000000;-0.610806;-0.632871;0.000000;-4.408888;-7.232066;0.000000
0.440000;0.078824;0.072025;0.000000;0.183559;0.234407;0.000000;-0.645285;-0.689671;0.000000;-4.208074;-6.963426;0.000000
0.448000;0.080272;0.073878;0.000000;0.178265;0.228670;0.000000;-0.678090;-0.744217;0.000000;-3.990409;-6.668719;0.000000
0.456000;0.081676;0.075683;0.000000;0.172715;0.222507;0.000000;-0.709087;-0.796301;0.000000;-3.755893;-6.347946;0.000000
0.464000;0.083035;0.077437;0.000000;0.166924;0.215937;0.000000;-0.738140;-0.845714;0.000000;-3.504526;-6.001106;0.000000
0.472000;0.084346;0.079137;0.000000;0.160910;0.208983;0.000000;-0.765114;-0.892249;0.000000;-3.236309;-5.628199;0.000000
0.480000;0.085609;0.080780;0.000000;0.154688;0.201669;0.000000;-0.789876;-0.935696;0.000000;-2.951241;-5.229225;0.000000
0.488000;0.086821;0.082363;0.000000;0.148278;0.194020;0.000000;-0.812289;-0.975847;0.000000;-2.649322;-4.804185;0.000000
0.496000;0.087981;0.083883;0.000000;0.141698;0.186065;0.000000;-0.832220;-1.012493;0.000000;-2.330552;-4.353078;0.000000
0.504000;0.089087;0.085339;0.000000;0.134970;0.177830;0.000000;-0.849533;-1.045427;0.000000;-1.994932;-3.875904;0.000000
0.512000;0.090140;0.086728;0.000000;0.128113;0.169348;0.000000;-0.864094;-1.074438;0.000000;-1.642461;-3.372663;0.000000
0.520000;0.091137;0.088048;0.000000;0.121152;0.160650;0.000000;-0.875768;-1.099320;0.000000;-1.273139;-2.843355;0.000000
0.528000;0.092078;0.089298;0.000000;0.114109;0.151771;0.000000;-0.884419;-1.119863;0.000000;-0.886966;-2.287981;0.000000
0.536000;0.092963;0.090476;0.000000;0.107010;0.142745;0.000000;-0.889914;-1.135858;0.000000;-0.483942;-1.706540;0.000000
0.544000;0.093790;0.091581;0.000000;0.099879;0.133610;0.000000;-0.892117;-1.147098;0.000000;-0.064068;-1.099032;0.000000
0.552000;0.094561;0.092614;0.000000;0.092745;0.124404;0.000000;-0.890894;-1.153373;0.000000;0.372657;-0.465457;0.000000
0.560000;0.095274;0.093572;0.000000;0.085634;0.115170;0.000000;-0.886110;-1.154475;0.000000;0.826233;0.194184;0.000000
0.568000;0.095931;0.094456;0.000000;0.078577;0.105947;0.000000;-0.877630;-1.150197;0.000000;1.296660;0.879893;0.000000
0.576000;0.096532;0.095267;0.000000;0.071603;0.096781;0.000000;-0.865318;-1.140328;0.000000;1.783937;1.591668;0.000000
0.584000;0.097077;0.096005;0.000000;0.064742;0.087717;0.000000;-0.849042;-1.124660;0.000000;2.288065;2.329510;0.000000
0.592000;0.097568;0.096671;0.000000;0.058029;0.078803;0.000000;-0.828664;-1.102986;0.000000;2.809044;3.093418;0.000000
0.600000;0.098006;0.097266;0.000000;0.051495;0.070086;0.000000;-0.804052;-1.075096;0.000000;3.346874;3.883394;0.000000
0.608000;0.098392;0.097793;0.000000;0.045176;0.061618;0.000000;-0.775070;-1.040782;0.000000;3.901555;4.699436;0.000000
0.616000;0.098729;0.098253;0.000000;0.039106;0.053451;0.000000;-0.741582;-0.999836;0.000000;4.473086;5.541545;0.000000
0.624000;0.099019;0.098649;0.000000;0.033323;0.045639;0.000000;-0.703455;-0.952048;0.000000;5.061469;6.409721;0.000000
0.632000;0.099263;0.098984;0.000000;0.027863;0.038237;0.000000;-0.660554;-0.897211;0.000000;5.666702;7.303963;0.000000
0.640000;0.099466;0.099262;0.000000;0.022767;0.031303;0.000000;-0.612743;-0.835115;0.000000;6.288785;8.224273;0.000000
0.648000;0.099629;0.099487;0.000000;0.018073;0.024896;0.000000;-0.559888;-0.765553;0.000000;6.927720;9.170649;0.000000
0.656000;0.099756;0.099662;0.000000;0.013822;0.019075;0.000000;-0.501855;-0.688315;0.000000;7.583505;10.143092;0.000000
0.664000;0.099851;0.099794;0.000000;0.010057;0.013903;0.000000;-0.438507;-0.603194;0.000000;8.256141;11.141602;0.000000
0.672000;0.099918;0.099887;0.000000;0.006821;0.009445;0.000000;-0.369711;-0.509980;0.000000;8.945628;12.166178;0.000000
0.680000;0.099962;0.099947;0.000000;0.004157;0.005766;0.000000;-0.295332;-0.408465;0.000000;9.651966;13.216821;0.000000
0.688000;0.099986;0.099981;0.000000;0.002111;0.002933;0.000000;-0.215235;-0.298441;0.000000;10.375154;14.293531;0.000000
0.696000;0.099997;0.099996;0.000000;0.000729;0.001014;0.000000;-0.129285;-0.179699;0.000000;11.115194;15.396308;0.000000
0.704000;0.100000;0.100000;0.000000;0.000058;0.000081;0.000000;-0.037347;-0.052031;0.000000;11.872084;16.525152;0.000000
0.712000;0.100000;0.100000;0.000000;0.000058;0.000081;0.000000;0.000000;0.000000;0.000000;2.999475;-0.000730;0.000000
0.720000;0.100001;0.100001;0.000000;0.000153;0.000081;0.000000;0.023709;-0.000006;0.000000;2.927774;-0.000714;0.000000
0.728000;0.100003;0.100001;0.000000;0.000436;0.000081;0.000000;0.046846;-0.000011;0.000000;2.856649;-0.000699;0.000000
0.736000;0.100008;0.100002;0.000000;0.000901;0.000081;0.000000;0.069417;-0.000017;0.000000;2.786100;-0.000684;0.000000
0.744000;0.100018;0.100003;0.000000;0.001545;0.000081;0.000000;0.091425;-0.000022;0.000000;2.716127;-0.000669;0.000000
